Varmegye,cegek_szama,osszes_arbevetel,osszes_eredmeny,megyei_nepesseg,megyei_lakas,profit_marzs,profit_per_lakos,profit_per_lakas,profit_per_ceg
Békés,11,"{""$decimal"":""323475729""}","{""$decimal"":""47863019""}",53944,30047,"{""$decimal"":""14.80""}","{""$decimal"":""887""}","{""$decimal"":""1593""}","{""$decimal"":""4351184""}"
Budapest,786,"{""$decimal"":""54408133852""}","{""$decimal"":""6948100091""}",1685209,973656,"{""$decimal"":""12.77""}","{""$decimal"":""4123""}","{""$decimal"":""7136""}","{""$decimal"":""8839822""}"
Zala,14,"{""$decimal"":""326086977""}","{""$decimal"":""40914629""}",53960,27954,"{""$decimal"":""12.55""}","{""$decimal"":""758""}","{""$decimal"":""1464""}","{""$decimal"":""2922474""}"
Fejér,51,"{""$decimal"":""3252378558""}","{""$decimal"":""403748070""}",95241,48799,"{""$decimal"":""12.41""}","{""$decimal"":""4239""}","{""$decimal"":""8274""}","{""$decimal"":""7916629""}"
Nógrád,4,"{""$decimal"":""59563192""}","{""$decimal"":""6823287""}",13706,6753,"{""$decimal"":""11.46""}","{""$decimal"":""498""}","{""$decimal"":""1010""}","{""$decimal"":""1705822""}"
Baranya,17,"{""$decimal"":""324054143""}","{""$decimal"":""37099001""}",139412,74470,"{""$decimal"":""11.45""}","{""$decimal"":""266""}","{""$decimal"":""498""}","{""$decimal"":""2182294""}"
Szabolcs-Szatmár-Bereg,39,"{""$decimal"":""1260962602""}","{""$decimal"":""108898265""}",114873,54384,"{""$decimal"":""8.64""}","{""$decimal"":""948""}","{""$decimal"":""2002""}","{""$decimal"":""2792263""}"
Hajdú-Bihar,51,"{""$decimal"":""1668990175""}","{""$decimal"":""142075994""}",202130,100621,"{""$decimal"":""8.51""}","{""$decimal"":""703""}","{""$decimal"":""1412""}","{""$decimal"":""2785804""}"
Tolna,18,"{""$decimal"":""514137086""}","{""$decimal"":""40084267""}",29337,15984,"{""$decimal"":""7.80""}","{""$decimal"":""1366""}","{""$decimal"":""2508""}","{""$decimal"":""2226904""}"
Somogy,17,"{""$decimal"":""1045863679""}","{""$decimal"":""79854702""}",58459,30768,"{""$decimal"":""7.64""}","{""$decimal"":""1366""}","{""$decimal"":""2595""}","{""$decimal"":""4697335""}"
Pest,167,"{""$decimal"":""9284880308""}","{""$decimal"":""689926343""}",71495,26643,"{""$decimal"":""7.43""}","{""$decimal"":""9650""}","{""$decimal"":""25895""}","{""$decimal"":""4131295""}"
Jász-Nagykun-Szolnok,30,"{""$decimal"":""1731855455""}","{""$decimal"":""126134974""}",65564,36006,"{""$decimal"":""7.28""}","{""$decimal"":""1924""}","{""$decimal"":""3503""}","{""$decimal"":""4204499""}"
Vas,14,"{""$decimal"":""1037611712""}","{""$decimal"":""71090470""}",76918,36687,"{""$decimal"":""6.85""}","{""$decimal"":""924""}","{""$decimal"":""1938""}","{""$decimal"":""5077891""}"
Borsod-Abaúj-Zemplén,44,"{""$decimal"":""2610455724""}","{""$decimal"":""176424240""}",141440,79234,"{""$decimal"":""6.76""}","{""$decimal"":""1247""}","{""$decimal"":""2227""}","{""$decimal"":""4009642""}"
Komárom-Esztergom,49,"{""$decimal"":""3149553444""}","{""$decimal"":""173712314""}",64785,31550,"{""$decimal"":""5.52""}","{""$decimal"":""2681""}","{""$decimal"":""5506""}","{""$decimal"":""3545149""}"
Győr-Moson-Sopron,53,"{""$decimal"":""5064029378""}","{""$decimal"":""266371241""}",129373,64528,"{""$decimal"":""5.26""}","{""$decimal"":""2059""}","{""$decimal"":""4128""}","{""$decimal"":""5025872""}"
Bács-Kiskun,59,"{""$decimal"":""3536070488""}","{""$decimal"":""181386566""}",108651,55648,"{""$decimal"":""5.13""}","{""$decimal"":""1669""}","{""$decimal"":""3260""}","{""$decimal"":""3074349""}"
Veszprém,31,"{""$decimal"":""1543866676""}","{""$decimal"":""77856671""}",55118,27698,"{""$decimal"":""5.04""}","{""$decimal"":""1413""}","{""$decimal"":""2811""}","{""$decimal"":""2511506""}"
Csongrád-Csanád,24,"{""$decimal"":""1810643369""}","{""$decimal"":""81015668""}",157282,88894,"{""$decimal"":""4.47""}","{""$decimal"":""515""}","{""$decimal"":""911""}","{""$decimal"":""3375653""}"
Heves,19,"{""$decimal"":""1799498163""}","{""$decimal"":""50537418""}",48686,27299,"{""$decimal"":""2.81""}","{""$decimal"":""1038""}","{""$decimal"":""1851""}","{""$decimal"":""2659864""}"
