Varmegye,F2024,F2025,N2024,N2025,SUM2024,SUM2025
Budapest,792495,793000,893727,892209,1686222,1685209
Pest,649530,651002,683727,685132,1333257,1336134
Fejér,205062,204960,214428,213602,419490,418562
Komárom-Esztergom,147184,145994,154650,153268,301834,299262
Veszprém,163398,161920,172581,171425,335979,333345
Győr-Moson-Sopron,231008,230096,242238,241552,473246,471648
Vas,120707,119273,127492,126325,248199,245598
Zala,125145,124050,134979,133321,260124,257371
Baranya,168585,167585,184746,183573,353331,351158
Somogy,140669,139791,152022,150454,292691,290245
Tolna,99933,99349,106465,105218,206398,204567
Borsod-Abaúj-Zemplén,299189,295987,318611,314940,617800,610927
Heves,136944,135992,148114,146498,285058,282490
Nógrád,87831,87057,92638,91758,180469,178815
Hajdú-Bihar,253114,253991,267436,266138,520550,520129
Jász-Nagykun-Szolnok,172232,170437,181279,179289,353511,349726
Szabolcs-Szatmár-Bereg,255190,253350,269323,267201,524513,520551
Bács-Kiskun,238310,237067,253322,251480,491632,488547
Békés,150104,148322,160808,158790,310912,307112
Csongrád-Csanád,186748,186443,202663,201663,389411,388106
